,genome_id,genome_name,taxon_id,ampicillin,amoxicillin_clavulanic_acid,cefoxitin,ceftriaxone,chloramphenicol,ciprofloxacin,gentamicin,streptomycin,tetracycline,trimethoprim_sulphamethoxazole,meropenem,cefepime,ceftazidime,piperacillin_tazobactam,amikacin,ampicillin_sulbactam,cefotaxime,cefalothin,ertapenem,imipenem,levofloxacin,nitrofurantoin,tigecycline,cefazolin,aztreonam,cefuroxime,tobramycin,trimethoprim,amoxicillin,colistin,norfloxacin,sulfamethoxazole
0,562.48346,Escherichia coli 290,562,resistant,resistant,resistant,resistant,susceptible,intermediate,susceptible,resistant,resistant,resistant,,,,,,,,,,,,,,,,,,,,,,
1,562.48349,Escherichia coli 291,562,resistant,resistant,resistant,resistant,susceptible,intermediate,susceptible,resistant,resistant,resistant,,,,,,,,,,,,,,,,,,,,,,
2,562.48348,Escherichia coli 292,562,resistant,resistant,resistant,resistant,susceptible,intermediate,susceptible,susceptible,resistant,resistant,,,,,,,,,,,,,,,,,,,,,,
3,562.48345,Escherichia coli 590,562,resistant,resistant,resistant,resistant,susceptible,intermediate,susceptible,resistant,resistant,resistant,,,,,,,,,,,,,,,,,,,,,,
4,1328440.3,Escherichia coli BIDMC 15,1328440,,,,,,,,,susceptible,,resistant,,,,,,,,,,,,,,,,,,,,,
5,1328441.3,Escherichia coli BIDMC 17A,1328441,,,,,,,,,,,resistant,resistant,,,,,,,,,,,,,,,,,,,,
6,1328442.3,Escherichia coli BIDMC 17B,1328442,,,,,,,,,susceptible,,resistant,resistant,,,,,,,,,,,,,,,,,,,,
7,1328443.3,Escherichia coli BIDMC 19A,1328443,,,,,,,,,,,resistant,resistant,,,,,,,,,,,,,,,,,,,,
8,1328444.3,Escherichia coli BIDMC 19B,1328444,,,,,,,,,,,resistant,resistant,,,,,,,,,,,,,,,,,,,,
9,1328445.3,Escherichia coli BIDMC 19C,1328445,,,,,,,,,,,resistant,resistant,,,,,,,,,,,,,,,,,,,,
10,1328446.3,Escherichia coli BIDMC 20A,1328446,,,,,,,,,,,resistant,,,,,,,,,,,,,,,,,,,,,
11,1328447.3,Escherichia coli BIDMC 20B,1328447,,,,,,,,,,,susceptible,,,,,,,,,,,,,,,,,,,,,
12,1328437.3,Escherichia coli BIDMC 3,1328437,,,,,,,,,,,resistant,resistant,resistant,,,,,,,,,,,,,,,,,,,
13,1328448.3,Escherichia coli BIDMC 37,1328448,,,,,,,,,,,,,,susceptible,,,,,,,,,,,,,,,,,,
14,1328449.3,Escherichia coli BIDMC 38,1328449,,,,,,,,,,,,,,susceptible,,,,,,,,,,,,,,,,,,
15,1328450.3,Escherichia coli BIDMC 39,1328450,,,,,,,,,,,,,,susceptible,,,,,,,,,,,,,,,,,,
16,1400156.3,Escherichia coli BIDMC 43a,1400156,,,,,,,,,,,,susceptible,,resistant,,,,,,,,,,,,,,,,,,
17,1400157.3,Escherichia coli BIDMC 43b,1400157,,,,,,,,,,,,susceptible,,intermediate,,,,,,,,,,,,,,,,,,
18,1328438.3,Escherichia coli BIDMC 6,1328438,,,,,,,,,,,resistant,,,,,,,,,,,,,,,,,,,,,
19,1328439.3,Escherichia coli BIDMC 9,1328439,,,,,,,,,,,resistant,,resistant,,,,,,,,,,,,,,,,,,,
20,1328432.3,Escherichia coli BWH 32,1328432,susceptible,,susceptible,,,susceptible,susceptible,,,susceptible,susceptible,,susceptible,,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,,,,,,,,,
21,1328433.3,Escherichia coli BWH 34,1328433,resistant,,resistant,,,resistant,susceptible,,,resistant,,,resistant,,susceptible,resistant,resistant,susceptible,,resistant,resistant,susceptible,susceptible,resistant,,,,,,,,
22,1328434.3,Escherichia coli BWH 40,1328434,resistant,,resistant,,,resistant,susceptible,,,resistant,,,resistant,,susceptible,resistant,resistant,resistant,,resistant,resistant,susceptible,susceptible,resistant,,,,,,,,
23,1438684.3,Escherichia coli CHS 68,1438684,resistant,,resistant,,,resistant,resistant,,,resistant,resistant,,resistant,,resistant,resistant,resistant,resistant,resistant,resistant,resistant,resistant,susceptible,resistant,,,,,,,,
24,1438685.3,Escherichia coli CHS 69,1438685,resistant,,resistant,,,resistant,resistant,,,susceptible,resistant,,resistant,,susceptible,resistant,resistant,resistant,resistant,resistant,resistant,resistant,,resistant,,,,,,,,
25,1438686.3,Escherichia coli CHS 77,1438686,resistant,,resistant,,,resistant,susceptible,,,resistant,resistant,,susceptible,,susceptible,resistant,intermediate,resistant,resistant,resistant,resistant,resistant,resistant,susceptible,,,,,,,,
26,562.22560,Escherichia coli H1 strain ECO0134,562,resistant,resistant,resistant,,,resistant,susceptible,,,,susceptible,susceptible,intermediate,,intermediate,,susceptible,resistant,susceptible,,,,susceptible,,resistant,resistant,resistant,resistant,,,,
27,562.22782,Escherichia coli H1 strain ECO0375,562,resistant,resistant,susceptible,,,susceptible,susceptible,,,,susceptible,susceptible,susceptible,susceptible,susceptible,,susceptible,intermediate,susceptible,,,,susceptible,,susceptible,susceptible,susceptible,susceptible,,,,
28,562.23244,Escherichia coli H1 strain ECO0873,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,
29,562.23267,Escherichia coli H1 strain ECO0902,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,
30,562.23563,Escherichia coli H1 strain ECO1074,562,,susceptible,,,,susceptible,susceptible,,,,,,susceptible,susceptible,,,susceptible,,,susceptible,,,susceptible,,,susceptible,,,resistant,,,
