,genome_id,genome_name,taxon_id,amoxicillin_clavulanic_acid,ampicillin,azithromycin,cefoxitin,ceftiofur,chloramphenicol,ciprofloxacin,gentamicin,kanamycin,nalidixic_acid,streptomycin,sulfonamides,tetracycline,trimethoprim_sulphamethoxazole,spectinomycin,trimethoprim,ceftazidime,ceftriaxone,sulfisoxazole,netilmicin,cephalosporins,furazolidone
0,28901.13275,Salmonella enterica strain 0153D,28901,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,susceptible,,,,,,,,
1,28901.13325,Salmonella enterica strain 0160A,28901,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,susceptible,,,,,,,,
2,28901.13333,Salmonella enterica strain 0167D,28901,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,resistant,,,,,,,,
3,28901.13339,Salmonella enterica strain 0171B,28901,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,resistant,,,,,,,,
4,28901.13347,Salmonella enterica strain 0179B,28901,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,resistant,,,,,,,,
5,28901.13364,Salmonella enterica strain 0180B,28901,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,susceptible,,,,,,,,
6,28901.13303,Salmonella enterica strain 0181A,28901,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,susceptible,,,,,,,,
7,28901.13372,Salmonella enterica strain 0182B,28901,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,resistant,,,,,,,,
8,28901.13387,Salmonella enterica strain 0185A,28901,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,,,,,,,,
9,28901.13394,Salmonella enterica strain 0187A,28901,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,resistant,,,,,,,,
10,28901.13276,Salmonella enterica strain 0191A,28901,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,susceptible,,,,,,,,
11,28901.13283,Salmonella enterica strain 0197B,28901,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,resistant,,,,,,,,
12,28901.13298,Salmonella enterica strain 0211A,28901,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,resistant,,,,,,,,
13,28901.13278,Salmonella enterica strain 0216A,28901,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,susceptible,,,,,,,,
14,28901.13297,Salmonella enterica strain 0217A,28901,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,,,,,,,,
15,28901.13304,Salmonella enterica strain 0229A,28901,susceptible,resistant,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,resistant,,,,,,,,
16,28901.13310,Salmonella enterica strain 0234B,28901,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,resistant,,,,,,,,
17,28901.13279,Salmonella enterica strain 0248A,28901,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,resistant,,,,,,,,
18,28901.13287,Salmonella enterica strain 0286B,28901,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,resistant,,,,,,,,
19,28901.13309,Salmonella enterica strain 0287A,28901,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,resistant,resistant,resistant,resistant,,,,,,,,
20,28901.13294,Salmonella enterica strain 0309C,28901,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,resistant,,,,,,,,
21,28901.13330,Salmonella enterica strain 0314A,28901,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,resistant,,,,,,,,
22,28901.13313,Salmonella enterica strain 0315D,28901,susceptible,resistant,resistant,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,resistant,resistant,resistant,resistant,,,,,,,,
23,28901.13343,Salmonella enterica strain 0316E,28901,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,resistant,,,,,,,,
24,28901.13326,Salmonella enterica strain 0322D,28901,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,resistant,,,,,,,,
25,28901.13312,Salmonella enterica strain 0323A,28901,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,susceptible,resistant,resistant,resistant,resistant,,,,,,,,
26,28901.13321,Salmonella enterica strain 0327B,28901,susceptible,resistant,susceptible,resistant,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,resistant,,,,,,,,
27,28901.13323,Salmonella enterica strain 0329B,28901,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,resistant,,,,,,,,
28,28901.13319,Salmonella enterica strain 0335B,28901,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,resistant,,,,,,,,
29,28901.13286,Salmonella enterica strain 0337D,28901,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,resistant,,,,,,,,
30,28901.13318,Salmonella enterica strain 0342E,28901,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,susceptible,,,,,,,,
31,28901.13299,Salmonella enterica strain 0343A,28901,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,susceptible,,,,,,,,
32,28901.13322,Salmonella enterica strain 0364A,28901,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,susceptible,,,,,,,,
33,28901.13316,Salmonella enterica strain 0384C,28901,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,susceptible,,,,,,,,
34,28901.13314,Salmonella enterica strain 0591C,28901,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,,,,,,,,
35,28901.13327,Salmonella enterica strain 0598B,28901,susceptible,resistant,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,susceptible,,,,,,,,
36,28901.13382,Salmonella enterica strain 0660A,28901,susceptible,resistant,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,resistant,resistant,resistant,susceptible,,,,,,,,
37,28901.13317,Salmonella enterica strain 0678A,28901,susceptible,resistant,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,susceptible,,,,,,,,
38,28901.13324,Salmonella enterica strain 0694E,28901,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,susceptible,susceptible,susceptible,susceptible,susceptible,resistant,resistant,susceptible,,,,,,,,
