,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,feature_weight_sum
ceftazidime,,,0.003417192492634058,0.01083906926214695,0.04234546422958374,0.26960042119026184,0.005938946269452572,0.0071836370043456554,0.0,0.010834384709596634,0.0,0.00992470234632492,0.0065228864550590515,0.07331462949514389,0.0,0.0018549446249380708,0.0058697969652712345,0.16661271452903748,0.0,0.16659606993198395,0.002154822228476405,0.0001496452314313501,0.0,0.0011433667968958616,0.0,0.0,0.0,0.0,0.0,0.1292785108089447,0.0,0.0,,,,0.009125785902142525,0.0028054318390786648,0.23847536742687225,0.004707478918135166,0.005041877273470163,0.0,0.0,0.0,0.0020029169972985983,0.0,0.06794935464859009,0.0,0.0,0.0037893964909017086,0.2393740862607956,0.0,0.2084430307149887,0.0032359748147428036,0.0007843417697586119,5.176730337552726e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.03883744403719902,0.0,0.07416941970586777,,,0.0068907239474356174,0.002451755106449127,0.053946930915117264,0.23161321878433228,0.005730986595153809,0.005029913038015366,0.0,0.0,0.0,0.011068609543144703,0.0006436103140003979,0.062326982617378235,0.0,0.0012750858440995216,0.0024143089540302753,0.24545755982398987,0.0017239029984921217,0.01331869512796402,0.20103152096271515,0.0,0.0,0.004120223224163055,0.0,0.0,0.00030819096718914807,0.0,0.0021340083330869675,0.0,0.0,0.20610053837299347,,,0.01266030315309763,0.004809916950762272,0.05351392179727554,0.22730979323387146,0.0019948866683989763,0.006376210134476423,0.0,0.003024327801540494,0.0,0.010401067323982716,0.0021165828220546246,0.06517039984464645,0.00023983995197340846,0.0,0.004040553234517574,0.16995377838611603,0.0,0.20783942937850952,0.002978284377604723,0.0031130206771194935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17323802411556244,0.0,0.0,,,0.006609141360968351,0.0034514497965574265,0.056768856942653656,0.2548903226852417,0.006261759903281927,0.006300284061580896,0.0,0.0,0.0,0.0010009356774389744,0.004660240840166807,0.07329274713993073,0.0,0.0,0.0038675330579280853,0.2426513284444809,0.0,0.20624510943889618,0.004404901061207056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088088758289814,4.777235352696152
trimethoprim,,,,,,,,,,,,,,,,,0.0006204939563758671,0.0005627165082842112,0.0,0.0,0.006701128091663122,0.007488286588340998,0.10038680583238602,0.0033276346512138844,0.0,0.009813394397497177,0.0,0.012386225163936615,0.0,0.0,0.3034081757068634,0.0,,,,,,,,,,,,,,,,,0.0010350544471293688,0.0,0.0,0.0,0.0,0.0064544095657765865,0.11731100082397461,0.0,0.0,0.009334970265626907,0.0,0.0026531016919761896,0.0011241331230849028,0.0,0.3115279972553253,0.0,,,,,,,,,,,,,,,,,0.0,4.66267520096153e-05,0.003887712024152279,0.0012300043599680066,0.0,0.013376735150814056,0.09401782602071762,0.0,0.0,0.0015359288081526756,0.0,0.0,0.0,0.644037663936615,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0009100940660573542,0.0,0.0,0.0,0.0,0.005595047026872635,0.09324853867292404,0.0,0.000632750743534416,0.0,0.0,0.0015539140440523624,0.0,0.0,0.29168805480003357,0.0,,,,,,,,,,,,,,,,,0.0011042671976611018,0.001709467964246869,0.0,0.0,0.0,0.004376324359327555,0.11072449386119843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34685760736465454,0.0,2.5106685852224473
cefotaxime,,,,,,,0.0,0.10120562463998795,0.0,0.0,0.0,0.0,0.0,0.014430461451411247,0.010186035186052322,0.0022323334123939276,0.012747354805469513,0.0,0.0,0.06498409807682037,0.1927330642938614,0.0,0.0,0.0,0.0,0.0022392410319298506,0.0,0.0,0.0,0.0009405199671164155,0.0,0.0,,,,,,,0.0,0.07741216570138931,0.0,0.0,0.0,0.0006566576776094735,0.0,0.016132647171616554,0.0,0.0006468893261626363,0.016156423836946487,0.0,0.0018888229969888926,0.051562853157520294,0.174775168299675,0.0,0.0,0.0028167301788926125,0.0,0.0046361819840967655,0.002714119851589203,0.030252214521169662,0.0,0.0,0.0,0.11792338639497757,,,,,,,0.0,0.09740374237298965,0.02127758413553238,0.012662420980632305,0.0,0.0,0.0,0.006878881715238094,0.0034669425804167986,0.0005388543359003961,0.018173253163695335,0.0,0.0,0.18153658509254456,0.02093498967587948,0.0,0.0,0.0,0.0,0.0,0.002583486493676901,0.0,0.0,0.0,0.0,0.020675817504525185,,,,,,,0.0035225162282586098,0.09470441937446594,0.0,0.015306488610804081,0.0006497885333374143,0.0,0.007239947095513344,0.0055964188650250435,0.0004589699674397707,0.0022559259086847305,0.015707606449723244,0.0,0.0,0.016650445759296417,0.24489805102348328,0.0004286204348318279,0.0016546245897188783,0.0,0.0,0.0056226723827421665,0.0,0.0,0.0,0.0042955344542860985,0.0,0.0,,,,,,,0.0,0.09321729093790054,0.01908082142472267,0.009628801606595516,0.0,0.0028583311941474676,0.0,0.017292410135269165,0.005370735190808773,0.0,0.012703988701105118,0.002222808776423335,0.0,0.04545692354440689,0.24322716891765594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00539769884198904,2.160854560963344
ciprofloxacin,,,,,0.00032416635076515377,0.0051017096266150475,0.0007524443790316582,0.0016177173238247633,0.0,0.0,0.0019690897315740585,0.0,0.0007243783329613507,0.0,0.0,0.0016440516337752342,0.0,0.0028199765365570784,0.0,0.0009089873055927455,0.007977657951414585,0.0,0.0,0.0,0.004909345880150795,0.1934107095003128,0.0,0.0,0.0,0.0,0.0,0.08914140611886978,,,,,0.0019513656152412295,0.004085134714841843,0.008461844176054,0.0008513277280144393,0.0,0.0,0.0,0.0074900416657328606,0.0,0.0,0.0,0.0018417643150314689,0.0,0.002831208286806941,0.0,0.0,0.0,0.0,0.001181165687739849,0.0,0.004675041418522596,0.14223793148994446,0.00850545335561037,0.0,0.0,0.05449225753545761,0.0,0.0,,,,0.001868342631496489,0.00016124766261782497,0.0,0.0021979487501084805,0.0018040796276181936,0.010203706100583076,0.0,0.0,0.0,0.005593346431851387,0.0,0.0,0.0007341514574363828,0.0,0.0009160717600025237,0.0,0.0,0.0,0.0,0.0,0.0,0.0077816396951675415,0.16193388402462006,0.0,0.0,0.0,0.0,0.062263984233140945,0.0,,,,0.0016170962480828166,0.0012493606191128492,0.0020279036834836006,0.0,0.0013628550805151463,0.0,0.0,0.0,0.0,0.004319464322179556,0.0,0.001092299586161971,0.0,0.0,0.005004061385989189,0.0,0.0,0.0,0.0,0.0005127856275066733,0.0,0.005624139681458473,0.17950548231601715,0.0,0.0,0.0,0.0,0.0,0.0725591704249382,,,,0.001908442354761064,0.0008921364205889404,0.0014543377328664064,0.0005687082302756608,0.0024266012478619814,0.0,0.0,0.0,0.005200909450650215,0.0,0.0,0.001431786804459989,0.0009132116101682186,0.0,0.0025974789168685675,0.0,0.0,0.0042907558381557465,0.0,0.0,0.0,0.006738443858921528,0.14246349036693573,0.0,0.0,0.0,0.06573649495840073,0.0,0.0,1.316861995801446
PLF_561_00049890,0.0027177834417670965,0.004997128155082464,0.0023289259988814592,0.002229479607194662,0.0,0.0047132824547588825,0.0,0.0,0.0,0.0010859849862754345,0.0,0.0047436426393687725,0.0,0.0,0.007876258343458176,0.0,0.0,0.01917538046836853,0.0,0.0,0.012373576872050762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15075241029262543,0.0,0.0,0.0,0.0026121099945157766,0.0,0.005793117918074131,0.0011384112294763327,0.0019810269586741924,0.005698134191334248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072750854305922985,0.0,0.0,0.02061951905488968,0.0,0.0,0.007185020484030247,0.003925619646906853,0.0,0.0,0.0,0.0,0.0,0.0,0.08629129827022552,0.0,0.0,0.0,0.002885800553485751,0.006578628905117512,0.0009710240992717445,0.0013657669769600034,0.0,0.00258064572699368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009726886637508869,0.011775348335504532,0.0,0.0,0.015187567099928856,0.0,0.005974648054689169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13091516494750977,0.0,0.0,0.0,0.0025681944098323584,0.0064245001412928104,0.0010470629204064608,0.003092935774475336,0.0,0.0,0.0006731148459948599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037526190280914307,0.0,0.0164151880890131,0.0045607672072947025,0.0,0.0,0.0013985178666189313,0.0,0.0,0.0,0.0,0.0,0.0,0.1330571323633194,0.0,0.0,0.0,0.0023786332458257675,0.0044228555634617805,0.0,0.001395421102643013,0.0,0.0,0.001248820568434894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018558718729764223,0.0,0.0,0.021056799218058586,0.004679892212152481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15691491961479187,0.0,0.0,0.0,0.901663725846447
PLF_561_00007970,0.0007162658730521798,0.07341054081916809,0.0,0.017171233892440796,0.014738442376255989,0.03749464452266693,0.001957855187356472,0.0,0.0,0.0008030877797864377,0.0,0.0,0.0,0.002081062411889434,0.0,0.0,0.00232712528668344,0.0029296046122908592,0.0,0.0,0.009807104244828224,0.0005103843286633492,0.0,0.0,0.010915392078459263,0.0,0.0,0.0039593372493982315,0.0,0.009884246625006199,0.0,0.0,0.0005127399344928563,0.025913892313838005,0.06682322174310684,0.022834541276097298,0.0003536750446073711,0.01642456091940403,0.0007445481605827808,0.0,0.0,0.0,0.0,0.0,0.0,0.0054502105340361595,0.0,0.0,0.0,0.002243775175884366,0.0,0.0,0.00573048135265708,0.0,0.00017427986313123256,0.0,0.010973073542118073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006923817563802004,0.07939912378787994,0.022267501801252365,0.00046035059494897723,0.007486769929528236,0.021903308108448982,0.0031173457391560078,0.0006696077762171626,0.0,0.00254079420119524,0.0,0.0,0.0,0.0009391642524860799,0.0,0.0,0.0,0.003452942008152604,0.0012281324015930295,0.006617540027946234,0.0,0.0,0.0005257312441244721,0.000570063479244709,0.01666989177465439,0.006097877398133278,0.000950726680457592,0.0,0.0,0.0,0.0,0.0,0.0002814723993651569,0.0695701614022255,0.0016135696787387133,0.0,0.009976043365895748,0.024366799741983414,0.001256592688150704,0.0016550668515264988,0.0,0.0008115477976389229,0.0,0.002821992849931121,0.0,0.001835437724366784,0.0,0.0,0.002235035179182887,0.003487762762233615,0.0,0.002109638648107648,0.008777226321399212,0.005924498662352562,0.0,0.0,0.008370309136807919,0.0,0.003723027417436242,0.0,0.0,0.001078581321053207,0.0,0.0,0.0004846480442211032,0.07761429250240326,0.022367699071764946,0.0,0.010488304309546947,0.03660989925265312,0.0026800152845680714,0.00028491055127233267,0.0,0.000934764975681901,0.0,0.0,0.004385493230074644,0.0018291100859642029,0.0,0.0,0.0016517811454832554,0.0033676186576485634,0.0,0.0018191618146374822,0.007344109937548637,0.0,0.0,0.0,0.013871734961867332,0.002940595615655184,0.0,0.0,0.002520339796319604,0.0,0.0,0.0,0.8635638232954079
imipenem,,,,,,,,,,,0.0,0.08323552459478378,0.0,0.0,0.001131454249843955,0.0,0.0,0.0,0.09648311138153076,0.0,0.0,0.0027557206340134144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.005226387642323971,0.06318867206573486,0.013723116368055344,0.014555367641150951,0.0,0.0,0.0,0.02411521039903164,0.0,0.0,0.0,0.0,0.0,0.00871049053966999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.10289911180734634,0.00200098124332726,0.0,0.001611100509762764,0.0,0.0,0.0,0.07574263215065002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.10771482437849045,0.0,0.0,0.0,0.0,0.0,0.0,0.038146380335092545,0.0,0.0,0.0024858827237039804,0.0,0.0,0.006797709036618471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.004299448803067207,0.09615790843963623,0.0,0.0021323494147509336,0.0,0.0006652491865679622,0.0,0.10050451755523682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8542831511003897
meropenem,,,,,,,,,,,,,0.00614136690273881,0.005306301638484001,0.011124164797365665,0.0,0.0,0.010207895189523697,0.1298397332429886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.00809350423514843,0.01217744592577219,0.0,0.0,0.013571643270552158,0.16173015534877777,0.0,0.0,0.0,0.0020498966332525015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.00444279657676816,0.002462670672684908,0.006693984381854534,0.0,0.0,0.0104439128190279,0.11450506746768951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.003327534534037113,0.006640859413892031,0.0,0.012650725431740284,0.0,0.010217837989330292,0.17570507526397705,0.0,0.0,0.003008680883795023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.00883240345865488,0.010802390985190868,0.0,0.0,0.014127896167337894,0.09066279977560043,0.0,0.0,0.0,0.0,0.0,0.003775296499952674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8385420395061374
gentamicin,,,,0.0012288792058825493,0.003830572357401252,0.003978349268436432,0.0,0.0004301185254007578,0.0,0.0,0.0,0.0036159593146294355,0.143574520945549,0.0010113518219441175,0.009741424582898617,0.0014656619168817997,0.0010358880972489715,0.0005491098272614181,0.0009997058659791946,0.0036673748400062323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022644007578492165,0.0,0.0,0.0,,,,,,0.0012243286473676562,0.0003137500607408583,0.001387733151204884,0.0,0.007517021615058184,0.0,0.10200350731611252,0.004603590816259384,0.0005307247047312558,0.011737733148038387,0.0013586117420345545,0.0,0.0,0.0008333835285156965,0.0,0.0,0.0,0.0008498039096593857,0.0014637032290920615,0.0,0.0,0.0,0.0,0.008508207276463509,0.0,0.0,0.0,,,,,0.0032976847141981125,0.005602416582405567,0.0013076765462756157,0.001769627328030765,0.0,0.0010927027324214578,0.0,0.0,0.08225148171186447,0.0018272418528795242,0.006245831493288279,0.0013673545327037573,0.002070487942546606,0.0,0.0,0.0,0.0,0.0003649287682492286,0.0013077928451821208,0.0,0.0,0.0,0.0,0.0,0.004494580440223217,0.0,0.0,0.0,,,,,0.001457243226468563,0.0028605603147298098,0.0010713239898905158,0.0011171334190294147,0.0,0.0,0.0,0.0,0.1251448094844818,0.0022530541755259037,0.0011451143072918057,0.005224729422479868,0.002177441492676735,0.0,0.010639256797730923,0.008831879124045372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022518543526530266,0.028923887759447098,0.0,0.0,0.0,,,,,0.0007152971811592579,0.0029990056063979864,0.0038983619306236506,0.001541765290312469,0.0,0.004611528478562832,0.00031984434463083744,0.10156437754631042,0.0,0.0008981581777334213,0.015582166612148285,0.0008140025311149657,0.0016425465000793338,0.0010188862215727568,0.003154454054310918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034204607363790274,0.0,0.0,0.0,0.8086506630352233
ampicillin,,,,,,0.004228848963975906,0.0,0.001463477499783039,0.0,0.0,0.08688817918300629,0.0,0.0,0.0,0.0,0.0037138687912374735,0.0006072830292396247,0.0,0.0,0.0,0.0,0.009443196468055248,0.0,0.0,0.0,0.0039062011055648327,0.011406637728214264,0.036070168018341064,0.0,0.0,0.0,0.0,,,0.0018949710065498948,0.0004823872004635632,0.0005869693704880774,0.0,0.0,0.0015919934958219528,0.0,0.0,0.09919383376836777,0.0,0.0,0.0,0.0,0.0035700350999832153,0.001607534009963274,0.0,0.0,0.0,0.0,0.0022361045703291893,0.0,0.0,0.0,0.0,0.005586474668234587,0.009021802805364132,0.0,0.0056771873496472836,0.0,0.0,,,,,,0.003320785006508231,0.0,0.0019621949177235365,0.0,0.0,0.08477374166250229,0.0,0.0,0.0,0.0,0.003966490272432566,0.0007848270470276475,0.0,0.0,0.0,0.0,0.0051617869175970554,0.0,0.0,0.0,0.0,0.0,0.04143449664115906,0.0,0.0,0.0,0.02114924043416977,,,,,,0.00409461185336113,0.0,0.0014131725765764713,0.0,0.0,0.10316173732280731,0.0,0.0,0.0,0.0031868910882622004,0.0,0.0025931408163160086,0.0,0.0,0.0,0.0,0.0034672506153583527,0.0,0.0,0.0,0.0,0.006982448976486921,0.026943041011691093,0.0,0.0,0.0,0.003699356224387884,,,,,,0.004130050074309111,0.0,0.0014240777818486094,0.0,0.0,0.07557698339223862,0.0,0.0,0.0,0.0,0.002708990126848221,0.0014695117715746164,0.0,0.0,0.0,0.0,0.004140686243772507,0.0,0.0034683989360928535,0.0,0.0,0.0037634389009326696,0.015157410874962807,0.03167719766497612,0.0,0.0,0.0,0.7507891132845543
